Disease ID,Disease Name,Baseline R@100,Augmented R@100,Improvement,Baseline MRR,Augmented MRR
C0027765,nervous system disorder,0.0,0.02,0.02,0.0007033898505080521,0.0007349613183372333
C0027794,Neural Tube Defects,0.1,0.05,-0.05,0.0027537068915507415,0.0019935226222993277
C0027796,Neuralgia,0.0,0.1,0.1,0.0018172798302718619,0.001722437561425987
C0027819,Neuroblastoma,0.05,0.025,-0.025,0.006271735305566395,0.0012366314345240647
C0027947,Neutropenia,0.0,0.0,0.0,0.0004006974362036176,0.00032678553536741133
C0028326,Noonan Syndrome,0.0,0.05,0.05,0.0009971811857582588,0.0028821033634329374
C0028754,Obesity,0.038615384615384614,0.03476923076923077,-0.0038461538461538464,0.0027777888735487062,0.00338600338474303
C0029172,Oral Submucous Fibrosis,0.0,0.0,0.0,0.001074504116439927,0.001339510837323919
C0029408,Degenerative polyarthritis,0.04111111111111111,0.04111111111111111,0.0,0.0013378716017187656,0.0014229614635328635
C0029422,Osteochondrodysplasias,0.0,0.0,0.0,0.0008895640214739523,0.0004111591270403568
C0029456,Osteoporosis,0.0,0.016666666666666666,0.016666666666666666,0.0007868122584940215,0.0013145454950720466
C0029463,Osteosarcoma,0.10833333333333332,0.10833333333333332,0.0,0.006201304037061548,0.005650862001711108
C0029927,Ovarian Cysts,0.06666666666666667,0.06666666666666667,0.0,0.0015632207079881739,0.0017165939727476116
C0030193,Pain,0.02,0.02,0.0,0.0010682584030559457,0.0010726444222404253
C0030297,Pancreatic Neoplasm,0.05,0.0375,-0.012500000000000004,0.0018535998814216575,0.0019134162653270943
C0030305,Pancreatitis,0.0,0.0,0.0,0.000699033620011534,0.0005877323287129775
C0030354,Papilloma,0.1,0.3,0.19999999999999998,0.01563807573152585,0.012054399207324743
C0030567,Parkinson Disease,0.01,0.02,0.01,0.0007777753915975596,0.0024139534726673015
C0031117,Peripheral Neuropathy,0.032275132275132276,0.028835978835978833,-0.003439153439153443,0.002300184347144013,0.0031175411043974496
C0031511,Pheochromocytoma,0.0,0.0,0.0,0.000780402447503012,0.0009394145261240213
C0032273,Pneumoconiosis,0.0,0.0,0.0,0.00017257201034302932,0.0004929996142770298
C0032285,Pneumonia,0.255,0.305,0.04999999999999999,0.026735321604342204,0.0259661327610242
C0032460,Polycystic Ovary Syndrome,0.01380952380952381,0.01380952380952381,0.0,0.0009519245475039814,0.0010856039732424787
C0032914,Pre-Eclampsia,0.0,0.0,0.0,0.00029581281844164844,0.00033339591976675056
C0032927,Precancerous Conditions,0.02857142857142857,0.05714285714285714,0.02857142857142857,0.001242918165119134,0.0017747718683769204
C0033578,Prostatic Neoplasms,0.0469472710453284,0.049121184088806655,0.0021739130434782553,0.0026826460633471,0.003604301643076239
